,TicketID,CustomerID,IssueType,ResolutionTime,Status
0,CMP9305-CDSKC1,9305-CDSKC,Service,12,Closed
1,CMP9305-CDSKC2,9305-CDSKC,Internet,11,Closed
2,CMP7892-POOKP1,7892-POOKP,Service,14,Closed
3,CMP6467-CHFZW1,6467-CHFZW,Billing,15,Closed
4,CMP6467-CHFZW2,6467-CHFZW,Billing,15,Closed
5,CMP7760-OYPDY1,7760-OYPDY,Billing,12,Closed
6,CMP7495-OOKFY1,7495-OOKFY,Service,15,Closed
7,CMP7495-OOKFY2,7495-OOKFY,Service,14,Closed
8,CMP1658-BYGOY1,1658-BYGOY,Internet,14,Closed
9,CMP1658-BYGOY2,1658-BYGOY,Service,13,Closed
10,CMP5698-BQJOH1,5698-BQJOH,Billing,15,Closed
11,CMP5698-BQJOH2,5698-BQJOH,Service,15,Closed
12,CMP5919-TMRGD1,5919-TMRGD,Service,11,Open
13,CMP5919-TMRGD2,5919-TMRGD,Service,12,Closed
14,CMP9191-MYQKX1,9191-MYQKX,Internet,8,Closed
15,CMP9191-MYQKX2,9191-MYQKX,Billing,5,Open
16,CMP8637-XJIVR1,8637-XJIVR,Billing,7,Closed
17,CMP4598-XLKNJ1,4598-XLKNJ,Internet,13,Closed
18,CMP4598-XLKNJ2,4598-XLKNJ,Service,15,Open
19,CMP4412-YLTKF1,4412-YLTKF,Internet,7,Closed
20,CMP4412-YLTKF2,4412-YLTKF,Billing,5,Closed
21,CMP3091-FYHKI1,3091-FYHKI,Internet,14,Open
22,CMP3091-FYHKI2,3091-FYHKI,Billing,10,Closed
23,CMP4080-OGPJL1,4080-OGPJL,Billing,7,Closed
24,CMP0867-MKZVY1,0867-MKZVY,Billing,14,Closed
25,CMP0867-MKZVY2,0867-MKZVY,Billing,15,Closed
26,CMP3445-HXXGF1,3445-HXXGF,Billing,9,Closed
27,CMP3445-HXXGF2,3445-HXXGF,Billing,8,Closed
28,CMP2070-FNEXE1,2070-FNEXE,Internet,6,Closed
29,CMP2070-FNEXE2,2070-FNEXE,Internet,8,Closed
30,CMP9367-WXLCH1,9367-WXLCH,Internet,13,Closed
31,CMP1918-ZBFQJ1,1918-ZBFQJ,Service,5,Open
32,CMP1918-ZBFQJ2,1918-ZBFQJ,Service,6,Open
33,CMP2472-OVKUP1,2472-OVKUP,Internet,12,Open
34,CMP2472-OVKUP2,2472-OVKUP,Billing,12,Closed
35,CMP0742-MOABM1,0742-MOABM,Billing,14,Closed
36,CMP0742-MOABM2,0742-MOABM,Internet,10,Closed
37,CMP8937-RDTHP1,8937-RDTHP,Billing,10,Closed
38,CMP8937-RDTHP2,8937-RDTHP,Internet,13,Closed
39,CMP0322-YINQP1,0322-YINQP,Internet,13,Closed
40,CMP0322-YINQP2,0322-YINQP,Service,14,Closed
41,CMP9514-JDSKI1,9514-JDSKI,Internet,14,Closed
42,CMP9514-JDSKI2,9514-JDSKI,Internet,11,Closed
43,CMP6432-TWQLB1,6432-TWQLB,Internet,14,Closed
44,CMP6390-DSAZX1,6390-DSAZX,Service,12,Open
45,CMP6390-DSAZX2,6390-DSAZX,Internet,15,Closed
46,CMP2840-XANRC1,2840-XANRC,Internet,15,Closed
47,CMP0122-OAHPZ1,0122-OAHPZ,Service,5,Closed
48,CMP6680-NENYN1,6680-NENYN,Internet,12,Open
49,CMP1343-EHPYB1,1343-EHPYB,Service,15,Open
50,CMP0623-IIHUG1,0623-IIHUG,Service,8,Open
51,CMP4572-DVCGN1,4572-DVCGN,Billing,12,Closed
52,CMP4572-DVCGN2,4572-DVCGN,Billing,10,Closed
53,CMP1010-DIAUQ1,1010-DIAUQ,Billing,14,Closed
54,CMP1010-DIAUQ2,1010-DIAUQ,Internet,14,Closed
55,CMP4895-TMWIR1,4895-TMWIR,Internet,8,Closed
56,CMP4895-TMWIR2,4895-TMWIR,Service,9,Open
57,CMP0533-BNWKF1,0533-BNWKF,Billing,12,Closed
58,CMP0979-PHULV1,0979-PHULV,Service,14,Closed
59,CMP0334-GDDSO1,0334-GDDSO,Billing,13,Closed
60,CMP0334-GDDSO2,0334-GDDSO,Billing,13,Closed
61,CMP9063-ZGTUY1,9063-ZGTUY,Service,8,Closed
62,CMP9063-ZGTUY2,9063-ZGTUY,Service,8,Closed
63,CMP7752-XUSCI1,7752-XUSCI,Billing,12,Open
64,CMP0256-LTHVJ1,0256-LTHVJ,Billing,12,Closed
65,CMP0880-TKATG1,0880-TKATG,Billing,14,Open
66,CMP0880-TKATG2,0880-TKATG,Internet,13,Closed
67,CMP4640-UHDOS1,4640-UHDOS,Service,9,Closed
68,CMP4640-UHDOS2,4640-UHDOS,Internet,8,Closed
69,CMP3583-EKAPL1,3583-EKAPL,Billing,12,Open
70,CMP6227-HWPWX1,6227-HWPWX,Service,9,Closed
71,CMP7783-YKGDV1,7783-YKGDV,Billing,14,Open
72,CMP8397-MVTAZ1,8397-MVTAZ,Service,15,Closed
73,CMP8397-MVTAZ2,8397-MVTAZ,Service,14,Closed
74,CMP9282-IZGQK1,9282-IZGQK,Billing,15,Closed
75,CMP1342-JPNKI1,1342-JPNKI,Billing,12,Closed
76,CMP1342-JPNKI2,1342-JPNKI,Service,13,Closed
77,CMP5301-GAUUY1,5301-GAUUY,Billing,14,Closed
78,CMP4710-FDUIZ1,4710-FDUIZ,Billing,11,Closed
79,CMP3627-FHKBK1,3627-FHKBK,Billing,13,Open
80,CMP3627-FHKBK2,3627-FHKBK,Internet,14,Open
81,CMP5192-EBGOV1,5192-EBGOV,Service,15,Closed
82,CMP3419-SNJJD1,3419-SNJJD,Billing,14,Closed
83,CMP6543-CPZMK1,6543-CPZMK,Service,8,Closed
84,CMP1009-IRMNA1,1009-IRMNA,Service,6,Closed
85,CMP1009-IRMNA2,1009-IRMNA,Internet,7,Open
86,CMP0970-ETWGE1,0970-ETWGE,Service,12,Closed
87,CMP0970-ETWGE2,0970-ETWGE,Billing,10,Closed
88,CMP0887-HJGAR1,0887-HJGAR,Service,12,Closed
89,CMP0887-HJGAR2,0887-HJGAR,Billing,11,Closed
90,CMP5644-PDMZC1,5644-PDMZC,Service,15,Closed
91,CMP5644-PDMZC2,5644-PDMZC,Service,15,Closed
92,CMP2024-BASKD1,2024-BASKD,Service,14,Closed
93,CMP4160-AMJTL1,4160-AMJTL,Billing,5,Closed
94,CMP7538-GWHML1,7538-GWHML,Internet,15,Closed
95,CMP7538-GWHML2,7538-GWHML,Service,15,Closed
96,CMP3276-HDUEG1,3276-HDUEG,Internet,14,Open
97,CMP3276-HDUEG2,3276-HDUEG,Billing,14,Closed
98,CMP0822-GAVAP1,0822-GAVAP,Billing,13,Closed
99,CMP1448-PWKYE1,1448-PWKYE,Service,12,Open
100,CMP5896-NPFWW1,5896-NPFWW,Service,13,Closed
101,CMP7133-VBDCG1,7133-VBDCG,Internet,5,Closed
102,CMP5138-WVKYJ1,5138-WVKYJ,Billing,10,Open
103,CMP5138-WVKYJ2,5138-WVKYJ,Service,14,Closed
104,CMP1894-IGFSG1,1894-IGFSG,Service,13,Closed
105,CMP1894-IGFSG2,1894-IGFSG,Internet,11,Closed
106,CMP2037-XJFUP1,2037-XJFUP,Billing,11,Closed
107,CMP2037-XJFUP2,2037-XJFUP,Billing,13,Open
108,CMP0691-IFBQW1,0691-IFBQW,Service,13,Closed
109,CMP1450-GALXR1,1450-GALXR,Billing,15,Open
110,CMP4289-DTDKW1,4289-DTDKW,Billing,14,Closed
111,CMP2239-JALAW1,2239-JALAW,Service,15,Closed
112,CMP2311-QYMUQ1,2311-QYMUQ,Service,10,Closed
113,CMP3104-OWCGK1,3104-OWCGK,Billing,13,Closed
114,CMP9231-ZJYAM1,9231-ZJYAM,Service,11,Open
115,CMP6982-SSHFK1,6982-SSHFK,Service,12,Open
116,CMP1038-ZAGBI1,1038-ZAGBI,Service,8,Closed
117,CMP2382-BCKQJ1,2382-BCKQJ,Internet,12,Open
118,CMP2207-NHRJK1,2207-NHRJK,Service,14,Open
119,CMP9944-HKVVB1,9944-HKVVB,Billing,15,Open
120,CMP3671-SHRSP1,3671-SHRSP,Service,13,Closed
121,CMP0207-MDKNV1,0207-MDKNV,Billing,14,Open
122,CMP0207-MDKNV2,0207-MDKNV,Internet,12,Closed
123,CMP9851-KIELU1,9851-KIELU,Billing,12,Closed
124,CMP3804-RVTGV1,3804-RVTGV,Service,15,Open
125,CMP3804-RVTGV2,3804-RVTGV,Service,13,Closed
126,CMP9227-LUNBG1,9227-LUNBG,Internet,14,Closed
127,CMP9734-YWGEX1,9734-YWGEX,Service,12,Open
128,CMP9734-YWGEX2,9734-YWGEX,Billing,10,Open
129,CMP2719-BDAQO1,2719-BDAQO,Billing,10,Closed
130,CMP2719-BDAQO2,2719-BDAQO,Billing,12,Closed
131,CMP6513-EECDB1,6513-EECDB,Internet,14,Closed
132,CMP6513-EECDB2,6513-EECDB,Internet,10,Closed
133,CMP4750-ZRXIU1,4750-ZRXIU,Internet,13,Open
134,CMP4750-ZRXIU2,4750-ZRXIU,Internet,13,Closed
135,CMP6400-BWQKW1,6400-BWQKW,Billing,5,Closed
136,CMP7028-DVOIQ1,7028-DVOIQ,Internet,11,Closed
137,CMP7028-DVOIQ2,7028-DVOIQ,Service,13,Closed
138,CMP9117-SHLZX1,9117-SHLZX,Service,13,Closed
139,CMP3158-MOERK1,3158-MOERK,Service,13,Closed
140,CMP8919-FYFQZ1,8919-FYFQZ,Billing,8,Open
141,CMP5875-YPQFJ1,5875-YPQFJ,Service,14,Open
142,CMP5875-YPQFJ2,5875-YPQFJ,Service,13,Closed
143,CMP9369-XFEHK1,9369-XFEHK,Billing,10,Open
144,CMP9369-XFEHK2,9369-XFEHK,Billing,11,Closed
145,CMP3842-IYKUE1,3842-IYKUE,Service,10,Closed
146,CMP1989-PRJHP1,1989-PRJHP,Internet,8,Closed
